time_s,north_m,east_m,down_m,v_north_mps,v_east_mps,v_down_mps,q1,q2,q3,q4,p_rad_s,q_rad_s,r_rad_s,temp_c
0,0,0,0,0,0,0,0.6190243,0.3468197,0.6106818,-0.3515576,0,0,0,10.93749
0.2,0.003884219,-0.006512322,-0.5588328,0.04120867,-0.06909088,-5.928798,0.6190243,0.3468197,0.6106818,-0.3515576,0,0,0,10.93386
0.4,0.01731818,-0.02903585,-2.491612,0.09520326,-0.1596188,-13.69714,0.6190243,0.3468197,0.6106818,-0.3515576,0,0,0,10.92132
0.6,0.04293957,-0.07199293,-6.177828,0.163102,-0.2734586,-23.46591,0.6190243,0.3468197,0.6106818,-0.3515576,0,0,0,10.89733
0.78,0.07844778,-0.1315237,-11.28589,0.2252536,-0.3769818,-32.25985,0.6190242,0.3468198,0.610682,-0.3515574,-6.398669e-06,0.0001329053,2.789956e-05,10.86413
0.8,0.08301352,-0.1391477,-11.93624,0.231258,-0.3852789,-32.76455,0.6190227,0.3468211,0.6106836,-0.351556,-2.250848e-05,0.0004356095,8.634722e-05,10.85992
1,0.1353675,-0.2244448,-18.99993,0.2925837,-0.4671466,-37.89188,0.6189201,0.3469041,0.6107964,-0.3514586,-0.0002352076,0.003473494,0.0006099193,10.81399
1.2,0.2000702,-0.3255562,-27.0941,0.3543212,-0.5424227,-43.04687,0.6186579,0.3471052,0.6110895,-0.3512122,-0.0005437127,0.00647109,0.0009958231,10.76138
1.4,0.2770123,-0.4407146,-36.22213,0.4145735,-0.6067604,-48.21635,0.6182372,0.3474078,0.6115679,-0.3508208,-0.0009532974,0.009412616,0.001241469,10.70205
1.6,0.3656798,-0.567285,-46.38376,0.4711878,-0.6558,-53.36935,0.6176606,0.3477939,0.6122355,-0.3502891,-0.001472326,0.01227115,0.001341434,10.63601
1.8,0.4651186,-0.7017936,-57.57288,0.5221139,-0.6859048,-58.53309,0.6169321,0.3482439,0.6130949,-0.3496222,-0.002109177,0.01504301,0.001304076,10.56329
2,0.5739817,-0.8401141,-69.79499,0.5650816,-0.6933976,-63.7289,0.6160561,0.3487384,0.6141486,-0.3488235,-0.002870078,0.0177176,0.001135487,10.48382
2.2,0.6904545,-0.9773939,-83.06789,0.5976442,-0.6746321,-68.95904,0.6150373,0.3492591,0.6153992,-0.3478952,-0.003754199,0.0202709,0.0008370479,10.39755
2.4,0.8121572,-1.10797,-97.37884,0.61694,-0.625837,-74.17095,0.6138844,0.3497832,0.6168439,-0.3468447,-0.00474362,0.02265162,0.0004038479,10.30453
2.6,0.9361787,-1.225544,-112.7316,0.6203257,-0.5440447,-79.37547,0.6126062,0.3502907,0.6184785,-0.3456796,-0.005801085,0.02483274,-0.0001564144,10.20474
2.8,1.05903,-1.323183,-129.1298,0.6047621,-0.4260406,-84.61526,0.6112115,0.3507645,0.6202949,-0.3444112,-0.006864318,0.02679785,-0.000827917,10.09817
3,1.176586,-1.393283,-146.5847,0.567497,-0.2688979,-89.88328,0.6097086,0.3511915,0.6222805,-0.3430552,-0.007856707,0.02849999,-0.001619436,9.984705
3.2,1.284376,-1.427753,-165.0916,0.5061621,-0.06831059,-95.19648,0.6081076,0.3515555,0.6244177,-0.3416379,-0.008736884,0.02988251,-0.00259716,9.864404
3.4,1.377254,-1.417549,-184.6665,0.4181451,0.1776944,-100.5399,0.6064166,0.3518416,0.6266869,-0.340191,-0.009429496,0.0308874,-0.003779399,9.737177
3.6,1.449672,-1.353584,-205.3082,0.3005507,0.4702439,-105.896,0.604646,0.3520357,0.6290617,-0.3387557,-0.009850569,0.0314602,-0.005169631,9.602991
3.8,1.495544,-1.226664,-227.0149,0.1519516,0.807567,-111.1983,0.6028065,0.3521272,0.6315104,-0.3373803,-0.009920926,0.03152711,-0.006777101,9.461908
4,1.507909,-1.027204,-249.7951,-0.03548631,1.196126,-116.6415,0.6009086,0.3521103,0.6339971,-0.3361173,-0.00957017,0.031132,-0.008552899,9.313837
4.2,1.479241,-0.7457933,-273.6575,-0.2566103,1.623768,-121.9486,0.5989638,0.3519826,0.6364818,-0.3350246,-0.008740918,0.03011611,-0.0105392,9.158716
4.4,1.40231,-0.3747723,-298.5797,-0.5213665,2.094146,-127.3062,0.596988,0.3517442,0.6389162,-0.3341669,-0.007318059,0.02856434,-0.01258072,8.996729
4.6,1.267792,0.09400033,-324.576,-0.8310474,2.598347,-132.6454,0.5949931,0.351419,0.6412469,-0.333602,-0.005212667,0.02646221,-0.01454002,8.827753
4.8,1.066372,0.666952,-351.6451,-1.191083,3.1356,-138.0427,0.5929961,0.3510346,0.6434168,-0.3333845,-0.002496399,0.02384289,-0.01634989,8.651819
5,0.7879477,1.349981,-379.7951,-1.603883,3.700027,-143.4904,0.5910185,0.3506172,0.6453708,-0.3335584,0.0007157435,0.02069321,-0.01791149,8.468835
5.2,0.4213971,2.147775,-409.0356,-2.072217,4.281199,-148.9327,0.589098,0.3501963,0.6470494,-0.3341456,0.004149481,0.0169198,-0.01893689,8.278772
5.4,-0.04443417,3.063275,-439.3686,-2.593804,4.877266,-154.4143,0.5872953,0.3497815,0.6484014,-0.335131,0.007187188,0.0125823,-0.01957165,8.081598
5.6,-0.6197152,4.099831,-470.8118,-3.165508,5.486139,-159.9866,0.5856756,0.3493246,0.6494157,-0.3364754,0.00919738,0.007780917,-0.0199836,7.877222
